hä	ሀ
hu	ሁ
hi	ሂ
ha	ሃ
he	ሄ
hə	ህ
ho	ሆ
lä	ለ
lu	ሉ
li	ሊ
la	ላ
le	ሌ
lə	ል
lo	ሎ
hä	ሐ
hu	ሑ
hi	ሒ
ha	ሓ
he	ሔ
hə	ሕ
ho	ሖ
mä	መ
mu	ሙ
mi	ሚ
ma	ማ
me	ሜ
mə	ም
mo	ሞ
sä	ሠ
su	ሡ
si	ሢ
sa	ሣ
se	ሤ
sə	ሥ
so	ሦ
rä	ረ
ru	ሩ
ri	ሪ
ra	ራ
re	ሬ
rə	ር
ro	ሮ
sä	ሰ
su	ሱ
si	ሲ
sa	ሳ
se	ሴ
sə	ስ
so	ሶ
šä	ሸ
šu	ሹ
ši	ሺ
ša	ሻ
še	ሼ
šə	ሽ
šo	ሾ
qä	ቀ
qu	ቁ
qi	ቂ
qa	ቃ
qe	ቄ
qə	ቅ
qo	ቆ
bä	በ
bu	ቡ
bi	ቢ
ba	ባ
be	ቤ
bə	ብ
bo	ቦ
tä	ተ
tu	ቱ
ti	ቲ
ta	ታ
te	ቴ
tə	ት
to	ቶ
čä	ቸ
ču	ቹ
či	ቺ
ča	ቻ
če	ቼ
čə	ች
čo	ቾ
hä	ኀ
hu	ኁ
hi	ኂ
ha	ኃ
he	ኄ
hə	ኅ
ho	ኆ
nä	ነ
nu	ኑ
ni	ኒ
na	ና
ne	ኔ
nə	ን
no	ኖ
ñä	ኘ
ñu	ኙ
ñi	ኚ
ña	ኛ
ñe	ኜ
ñə	ኝ
ño	ኞ
ʾä	አ
ʾu	ኡ
ʾi	ኢ
ʾa	ኣ
ʾe	ኤ
ʾə	እ
ʾo	ኦ
kä	ከ
ku	ኩ
ki	ኪ
ka	ካ
ke	ኬ
kə	ክ
ko	ኮ
hä	ኸ
hu	ኹ
hi	ኺ
ha	ኻ
he	ኼ
hə	ኽ
ho	ኾ
wä	ወ
wu	ዉ
wi	ዊ
wa	ዋ
we	ዌ
wə	ው
wo	ዎ
ʾä	ዐ
ʾu	ዑ
ʾi	ዒ
ʾa	ዓ
ʾe	ዔ
ʾə	ዕ
ʾo	ዖ
zä	ዘ
zu	ዙ
zi	ዚ
za	ዛ
ze	ዜ
zə	ዝ
zo	ዞ
žä	ዠ
žu	ዡ
ži	ዢ
ža	ዣ
že	ዤ
žə	ዥ
žo	ዦ
yä	የ
yu	ዩ
yi	ዪ
ya	ያ
ye	ዬ
yə	ይ
yo	ዮ
dä	ደ
du	ዱ
di	ዲ
da	ዳ
de	ዴ
də	ድ
do	ዶ
ǧä	ጀ
ǧu	ጁ
ǧi	ጂ
ǧa	ጃ
ǧe	ጄ
ǧə	ጅ
ǧo	ጆ
gä	ገ
gu	ጉ
gi	ጊ
ga	ጋ
ge	ጌ
gə	ግ
go	ጎ
t'ä	ጠ
t'u	ጡ
t'i	ጢ
t'a	ጣ
t'e	ጤ
t'ə	ጥ
t'o	ጦ
č'ä	ጨ
č'u	ጩ
č'i	ጪ
č'a	ጫ
č'e	ጬ
č'ə	ጭ
č'o	ጮ
p'ä	ጰ
p'u	ጱ
p'i	ጲ
p'a	ጳ
p'e	ጴ
p'ə	ጵ
p'o	ጶ
s'ä	ጸ
s'u	ጹ
s'i	ጺ
s'a	ጻ
s'e	ጼ
s'ə	ጽ
s'o	ጾ
s'ä	ፀ
s'u	ፁ
s'i	ፂ
s'a	ፃ
s'e	ፄ
s'ə	ፅ
s'o	ፆ
fä	ፈ
fu	ፉ
fi	ፊ
fa	ፋ
fe	ፌ
fə	ፍ
fo	ፎ
pä	ፐ
pu	ፑ
pi	ፒ
pa	ፓ
pe	ፔ
pə	ፕ
po	ፖ
